Price,Close,High,Low,Open,Volume
Ticker,UNTR.JK,UNTR.JK,UNTR.JK,UNTR.JK,UNTR.JK
Date,,,,,
2022-08-01,20874.943359375,21377.758622887526,20810.063970534673,20858.723512164917,8590000
2022-08-02,21329.099609375,21410.19884743346,20972.262961917775,21020.922504752853,6454800
2022-08-03,22026.55078125,22058.990473122238,21166.898946635676,21166.898946635676,11305200
2022-08-04,21539.95703125,22091.43183476092,21475.077642601656,22026.552446112575,12263500
2022-08-05,21085.80078125,21507.516796875,20939.822160456733,21507.516796875,10880900
2022-08-08,21020.921875,21247.999734760804,20939.82263937114,21085.801263503086,10500800
2022-08-09,21004.701171875,21848.133188042953,21004.701171875,21215.559175916987,4976300
2022-08-10,20988.48046875,21458.85599702956,20956.040777144513,21199.338464185665,10438900
2022-08-11,20696.5234375,21377.756967574453,20696.5234375,21377.756967574453,5577400
2022-08-12,20501.88671875,20664.08518962619,20258.58901243572,20501.88671875,7251400
2022-08-15,21085.80078125,21199.339708533655,20550.545838341346,20566.765685096154,2704300
2022-08-16,21020.921875,21264.219581886573,20777.624168113427,21150.680652006173,3511300
2022-08-18,20761.40234375,20874.94126281738,20582.9840423584,20712.742807006834,4153200
2022-08-19,20534.328125,20826.28539691943,20534.328125,20712.74645783965,2921200
2022-08-22,20631.64453125,20777.62314821639,20404.56668263561,20712.743762897993,2166500
2022-08-23,20842.50390625,21004.7023802286,20339.68863691634,20339.68863691634,5081800
2022-08-24,21166.8984375,21312.877047413793,20842.501526580458,21004.699982040227,4749800
2022-08-25,21377.7578125,21410.19750569044,21053.3608805956,21312.87842611912,3773100
2022-08-26,21475.076171875,21621.054786336386,21426.416633721205,21507.51586397753,5112200
2022-08-29,21410.197265625,21410.197265625,20939.821719637785,21247.998801491478,3250000
2022-08-30,21621.0546875,21945.451607042385,21247.998230026256,21410.19668979745,4973100
2022-08-31,21961.673828125,21961.673828125,21215.560832487077,21458.858548455963,7363200
2022-09-01,21588.615234375,21896.79231134955,21588.615234375,21896.79231134955,2255000
2022-09-02,21994.109375,22026.549064343657,21604.833102876106,21604.833102876106,5516800
