Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-08-01,6878.4462890625,6878.4462890625,6740.87736328125,6740.87736328125,104841600
2022-08-02,6970.15869140625,6993.086844996403,6878.446077045642,6970.15869140625,106466900
2022-08-03,6993.08642578125,6993.08642578125,6947.230121349898,6993.08642578125,60170600
2022-08-04,7153.583984375,7153.583984375,7016.015061598558,7038.943215394632,164221000
2022-08-05,7222.3681640625,7222.3681640625,7084.799246651785,7176.511858258928,118734200
2022-08-08,7222.3681640625,7268.224469866072,7107.727399553572,7222.3681640625,84328900
2022-08-09,7245.29638671875,7314.080846086333,7222.368233596222,7222.368233596222,92875800
2022-08-10,7245.29638671875,7245.29638671875,7084.799314861056,7153.583774228639,104376300
2022-08-11,7291.15234375,7291.15234375,7176.511583628144,7199.439735652515,73204700
2022-08-12,7268.22509765625,7314.081407420643,7199.440633009661,7268.22509765625,59381200
2022-08-15,7291.15234375,7314.08049577437,7245.2960397012575,7291.15234375,81411000
2022-08-16,7314.08056640625,7314.08056640625,7199.439805177311,7291.152414160462,83556700
2022-08-18,7337.0087890625,7359.93694152832,7222.368026733398,7245.296179199218,86136900
2022-08-19,7245.29638671875,7382.865305453916,7245.29638671875,7382.865305453916,58194900
2022-08-22,7337.0087890625,7337.0087890625,7176.511721801758,7199.439874267578,97293300
2022-08-23,7245.29638671875,7337.008999208861,7245.29638671875,7337.008999208861,71671800
2022-08-24,7291.15234375,7359.936799823113,7245.2960397012575,7291.15234375,108892400
2022-08-25,7405.79345703125,7428.721610148994,7245.296385207043,7337.008997678018,99503500
2022-08-26,7337.0087890625,7451.649551391602,7337.0087890625,7359.93694152832,80472400
2022-08-29,7474.57861328125,7474.57861328125,7291.1533712375385,7337.009681748466,57762100
2022-08-30,7497.505859375,7589.218469275612,7405.793249474388,7428.721401949541,124467000
2022-08-31,7520.43408203125,7543.36223472037,7382.865165896533,7405.793318585652,137659900
2022-09-01,7474.57861328125,7566.291234303107,7451.650458025786,7474.57861328125,74960800
2022-09-02,7543.36279296875,7543.36279296875,7474.57832981098,7474.57832981098,71430600
2022-09-05,7589.21923828125,7612.147393079683,7520.4347738859515,7543.362928684384,62906000
2022-09-06,7589.21923828125,7658.0037026765485,7566.291083482817,7612.147393079683,67079900
2022-09-07,7680.931640625,7680.931640625,7566.290869869404,7566.290869869404,117931700
2022-09-08,7658.00244140625,7795.571347539296,7658.00244140625,7703.858743450599,132777400
2022-09-09,7680.931640625,7795.572411380597,7589.219024020523,7795.572411380597,91234600
2022-09-12,7680.931640625,7726.787948927239,7635.075332322762,7635.075332322762,52395300
2022-09-13,7818.5,7864.356304985337,7680.931085043988,7680.931085043988,124485200
2022-09-14,7795.572265625,7933.141187959559,7680.931497012867,7680.931497012867,116642400
2022-09-15,8024.85302734375,8139.493784877232,7795.571512276786,7795.571512276786,190404800
2022-09-16,7749.7158203125,8001.925506772374,7749.7158203125,7978.99735345784,363127600
2022-09-19,7933.1416015625,8024.854221233743,7749.716362220015,7772.6445171378255,102530600
2022-09-20,7841.42822265625,7933.140833447552,7841.42822265625,7841.42822265625,89238400
2022-09-21,7772.64404296875,7887.28481056416,7726.787735930587,7818.500350006914,90933700
2022-09-22,7772.64404296875,7818.500350006914,7680.931428892422,7680.931428892422,61908500
2022-09-23,7680.931640625,7772.644257229478,7680.931640625,7680.931640625,60567600
2022-09-26,7726.78759765625,7795.572056982567,7520.4342196773005,7520.4342196773005,106228200
2022-09-27,7612.14599609375,7749.714899637613,7612.14599609375,7680.930447865681,89567100
2022-09-28,7635.07568359375,7726.7883044177,7566.291217975789,7566.291217975789,89153400
2022-09-29,7680.931640625,7749.716103078358,7635.075332322762,7635.075332322762,62643700
2022-09-30,7841.42822265625,7864.356375354076,7589.218542980172,7680.931153771473,176524800
2022-10-03,7795.572265625,7818.500419347426,7749.715958180147,7749.715958180147,115079600
2022-10-04,7841.42822265625,7910.212680749726,7818.500069958425,7818.500069958425,80524500
2022-10-05,7749.7158203125,7841.428433570636,7726.787666997966,7818.500280256102,63788000
2022-10-06,7726.78759765625,7795.572056982567,7726.78759765625,7772.643903873794,43967400
2022-10-07,7520.43408203125,7680.931150855088,7520.43408203125,7635.074845476849,112043400
2022-10-10,7612.14599609375,7680.930447865681,7451.6489419592435,7474.577092549887,80238200
2022-10-11,7566.291015625,7612.147324810606,7474.578397253787,7520.434706439393,64060000
2022-10-12,7635.07568359375,7635.07568359375,7497.506752357827,7520.434907563814,47569700
