Price,Close,High,Low,Open,Volume
Ticker,ASII.JK,ASII.JK,ASII.JK,ASII.JK,ASII.JK
Date,,,,,
2025-07-01,4450.0,4510.0,4440.0,4490.0,27410600
2025-07-02,4540.0,4550.0,4440.0,4450.0,34231600
2025-07-03,4570.0,4590.0,4530.0,4540.0,24120100
2025-07-04,4620.0,4650.0,4570.0,4600.0,25298100
2025-07-07,4680.0,4680.0,4590.0,4620.0,20181800
2025-07-08,4660.0,4670.0,4620.0,4670.0,21173700
2025-07-09,4720.0,4720.0,4670.0,4680.0,32577400
2025-07-10,4680.0,4730.0,4680.0,4720.0,21464100
2025-07-11,4710.0,4720.0,4680.0,4720.0,19382400
2025-07-14,4700.0,4750.0,4650.0,4710.0,32985800
2025-07-15,4700.0,4700.0,4630.0,4700.0,25045900
2025-07-16,4750.0,4810.0,4690.0,4700.0,53394000
2025-07-17,4790.0,4820.0,4730.0,4750.0,37859000
2025-07-18,4750.0,4840.0,4750.0,4810.0,23680400
2025-07-21,4760.0,4810.0,4720.0,4810.0,17018900
2025-07-22,4690.0,4760.0,4680.0,4760.0,47232600
2025-07-23,4950.0,4950.0,4720.0,4740.0,94669900
2025-07-24,5050.0,5075.0,4980.0,4990.0,72459700
2025-07-25,5000.0,5050.0,4950.0,5000.0,28079000
2025-07-28,5100.0,5100.0,4990.0,5025.0,59414600
2025-07-29,5100.0,5125.0,5025.0,5100.0,36861000
2025-07-30,5150.0,5150.0,5075.0,5100.0,53075600
