Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2025-07-01,8700.0,8775.0,8600.0,8750.0,82364500
2025-07-02,8675.0,8675.0,8575.0,8575.0,68545100
2025-07-03,8600.0,8750.0,8600.0,8700.0,50370800
2025-07-04,8650.0,8700.0,8550.0,8650.0,43593300
2025-07-07,8625.0,8650.0,8550.0,8625.0,49936900
2025-07-08,8500.0,8600.0,8425.0,8550.0,215611000
2025-07-09,8500.0,8550.0,8450.0,8500.0,94459300
2025-07-10,8600.0,8650.0,8500.0,8525.0,111769400
2025-07-11,8625.0,8675.0,8575.0,8575.0,135986500
2025-07-14,8525.0,8675.0,8450.0,8650.0,125196000
2025-07-15,8550.0,8600.0,8475.0,8600.0,77219300
2025-07-16,8525.0,8600.0,8500.0,8550.0,97475300
2025-07-17,8525.0,8550.0,8500.0,8500.0,86016400
2025-07-18,8425.0,8575.0,8425.0,8550.0,80432200
2025-07-21,8450.0,8500.0,8375.0,8450.0,95383500
2025-07-22,8400.0,8475.0,8400.0,8450.0,77981700
2025-07-23,8425.0,8500.0,8400.0,8450.0,70969500
2025-07-24,8500.0,8550.0,8450.0,8475.0,138256800
2025-07-25,8450.0,8525.0,8450.0,8500.0,58682800
2025-07-28,8500.0,8625.0,8475.0,8625.0,99484300
2025-07-29,8400.0,8500.0,8375.0,8500.0,104240300
2025-07-30,8375.0,8475.0,8325.0,8475.0,98098100
