model_name,model_type,rmse,mae,r2,mape
Ridge,advanced,205.07413978205503,168.4875826063271,0.7976151222403183,1.927403034588095
Naive Forecast,baseline,8875.667615404253,8863.953772600169,-378.10396070701177,99.98089787559444
SMA (5-day),baseline,8875.800799425708,8864.087132623583,-378.1153380976585,99.98240608713591
EMA (α=0.3),baseline,8875.818551823637,8864.104908480811,-378.11685462855536,99.98260712004173
