run_id,model_name,model_type,rmse,mae,r2,mape,algorithm,alpha,n_estimators,max_depth,learning_rate
15d481c617eb4e1e8fa42aa290b32965,Ridge (α=1000.0),advanced,184.05081666462274,146.4180118032475,0.8369834268271626,1.6829943895342192,ridge_regression,1000.0,,,
334d02da42da4237b395cd2b04587a17,Ridge (α=100.0),advanced,186.18149219793753,148.5658143435628,0.8331872372182033,1.69990176306768,ridge_regression,100.0,,,
b6881530178645cdba35b738693acede,Ridge (α=10.0),advanced,205.07413978205503,168.4875826063271,0.7976151222403183,1.927403034588095,ridge_regression,10.0,,,
1bc1f02dc6e444f6b1969511a7ed4fe1,Ridge (α=1.0),advanced,227.97513166177598,191.72961145724005,0.7498899101755122,2.1967600113314756,ridge_regression,1.0,,,
5b23590a73544b919bb027e0f1d524cc,Ridge (α=0.1),advanced,234.50829330402735,197.69899567828594,0.7353495274514187,2.2662495826591713,ridge_regression,0.1,,,
aea161d21a514ea4bb620bf0f9665fb5,"XGBoost (100, 3, 0.05)",advanced,260.9195296740162,213.57191488776408,0.6723807318769153,2.455568767978609,xgboost,,100.0,3.0,0.05
aa4e0fed572342268df7168453b0445c,"XGBoost (100, 3, 0.1)",advanced,288.07267181497843,235.68904049295776,0.6006438443053368,2.7168114705501187,xgboost,,100.0,3.0,0.1
01f7aabd55e94c3d8be5c0316ae45f08,"XGBoost (200, 3, 0.1)",advanced,301.77334682642544,245.7503438600352,0.561753939609767,2.834085317855953,xgboost,,200.0,3.0,0.1
4da1d0cbc881498180b77db26d125636,"LightGBM (200, 3, 0.1)",advanced,341.0991718828418,293.2434453109376,0.4400908150691274,3.3943348965531,lightgbm,,200.0,3.0,0.1
854f06bee0814389924da01f614c25c6,"LightGBM (100, 3, 0.1)",advanced,345.19502182830126,297.1134218250611,0.4265635305705008,3.4398306663024174,lightgbm,,100.0,3.0,0.1
b62fb734ba97460380fa437f7fbc9566,"LightGBM (100, 3, 0.05)",advanced,351.7205006157581,302.8992654796753,0.40467841815669825,3.509971773248123,lightgbm,,100.0,3.0,0.05
3e8c4fcf48474a3c9df996fc86b1174e,"XGBoost (100, 5, 0.1)",advanced,367.3165927926093,307.55658560739437,0.35071203030386133,3.5577177035434047,xgboost,,100.0,5.0,0.1
214a8b2b614e44d4bb53cf1db6191c35,"LightGBM (100, 5, 0.1)",advanced,465.55855787424167,396.02019710537144,-0.043049430446886916,4.60940791734888,lightgbm,,100.0,5.0,0.1
59fc191eb2124fcbad74cc40fc9446e8,Naive Forecast,baseline,8875.667615404253,8863.953772600169,-378.10396070701177,99.98089787559444,,,,,
2c956f3f2ce64d6abedbe29b6f649a61,SMA (5-day),baseline,8875.800799425708,8864.087132623583,-378.1153380976585,99.98240608713591,,,,,
3b732ccfd93e418d959101e2b11962ef,EMA (α=0.3),baseline,8875.818551823637,8864.104908480811,-378.11685462855536,99.98260712004173,,,,,
